trip_id,carrier_name,vehicle_id,customer_name,origin,destination,lane_id,planned_departure,promised_arrival,delivered_time
EX-001,Atlas Roadlink,VH-101,GCC Demo Retail,Riyadh DC,Dammam Store,RUH-DMM,2026-06-01T04:00:00Z,2026-06-01T10:00:00Z,2026-06-01T09:45:00Z
EX-002,Atlas Roadlink,VH-102,GCC Demo Retail,Riyadh DC,Jeddah Store,RUH-JED,2026-06-01T02:00:00Z,2026-06-01T14:00:00Z,2026-06-01T13:55:00Z
EX-003,Atlas Roadlink,VH-103,GCC Demo Foods,Dammam DC,Khobar Store,DMM-KHO,2026-06-02T05:00:00Z,2026-06-02T08:00:00Z,2026-06-02T07:55:00Z
EX-004,Atlas Roadlink,VH-104,GCC Demo Foods,Jeddah Port,Jeddah Mall,JED-JED,2026-06-02T08:00:00Z,2026-06-02T10:00:00Z,2026-06-02T09:50:00Z
EX-005,Atlas Roadlink,VH-105,GCC Demo Retail,Dubai DC,Abu Dhabi Store,DXB-AUH,2026-06-03T04:00:00Z,2026-06-03T08:00:00Z,2026-06-03T07:50:00Z
EX-006,Atlas Roadlink,VH-106,GCC Demo Foods,Riyadh DC,Riyadh North,RUH-RUH,2026-06-03T04:00:00Z,2026-06-03T06:00:00Z,2026-06-03T06:00:00Z
EX-007,Atlas Roadlink,VH-107,GCC Demo Retail,Dammam DC,Doha Store,DMM-DOH,2026-06-04T06:00:00Z,2026-06-04T15:00:00Z,2026-06-04T14:50:00Z
EX-008,Atlas Roadlink,VH-108,GCC Demo Retail,Riyadh DC,Dubai Store,RUH-DXB,2026-06-04T01:00:00Z,2026-06-04T20:00:00Z,2026-06-04T19:45:00Z
EX-009,Atlas Roadlink,VH-109,GCC Demo Foods,Jeddah DC,Makkah Store,JED-MAK,2026-06-05T03:00:00Z,2026-06-05T07:00:00Z,2026-06-05T07:00:00Z
EX-010,Atlas Roadlink,VH-110,GCC Demo Foods,Dubai DC,Sharjah Store,DXB-SHJ,2026-06-05T04:00:00Z,2026-06-05T06:00:00Z,2026-06-05T05:55:00Z
GD-001,Cedar Freight,VH-201,GCC Demo Retail,Riyadh DC,Dammam Store,RUH-DMM,2026-06-01T04:00:00Z,2026-06-01T10:00:00Z,2026-06-01T10:05:00Z
GD-002,Cedar Freight,VH-202,GCC Demo Retail,Riyadh DC,Jeddah Store,RUH-JED,2026-06-01T02:00:00Z,2026-06-01T14:00:00Z,2026-06-01T14:20:00Z
GD-003,Cedar Freight,VH-203,GCC Demo Foods,Dammam DC,Khobar Store,DMM-KHO,2026-06-02T05:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:00:00Z
GD-004,Cedar Freight,VH-204,GCC Demo Foods,Dubai DC,Abu Dhabi Store,DXB-AUH,2026-06-02T04:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:10:00Z
GD-005,Cedar Freight,VH-205,GCC Demo Retail,Riyadh DC,Riyadh North,RUH-RUH,2026-06-03T04:00:00Z,2026-06-03T06:00:00Z,2026-06-03T06:05:00Z
WL-001,Red Sea Haulage,VH-301,GCC Demo Retail,Riyadh DC,Dammam Store,RUH-DMM,2026-06-01T04:00:00Z,2026-06-01T10:00:00Z,2026-06-01T11:10:00Z
WL-002,Red Sea Haulage,VH-302,GCC Demo Retail,Riyadh DC,Jeddah Store,RUH-JED,2026-06-01T02:00:00Z,2026-06-01T14:00:00Z,2026-06-01T15:30:00Z
WL-003,Red Sea Haulage,VH-303,GCC Demo Foods,Dammam DC,Khobar Store,DMM-KHO,2026-06-02T05:00:00Z,2026-06-02T08:00:00Z,2026-06-02T09:10:00Z
