trip_id,vehicle_id,geofence_id,geofence_name,geofence_type,enter_time,exit_time,dwell_minutes
GOOD-1,VH-G1,GF-G1-O,Riyadh Dry Port,ORIGIN,2026-05-01T06:00:00+03:00,2026-05-01T07:00:00+03:00,60
GOOD-1,VH-G1,GF-G1-D,Dammam DC,DESTINATION,2026-05-01T13:00:00+03:00,2026-05-01T13:30:00+03:00,30
GOOD-2,VH-G2,GF-G2-O,Riyadh Dry Port,ORIGIN,2026-05-01T06:00:00+03:00,2026-05-01T07:00:00+03:00,60
GOOD-2,VH-G2,GF-G2-D,Dammam DC,DESTINATION,2026-05-01T13:05:00+03:00,2026-05-01T13:35:00+03:00,30
GOOD-3,VH-G3,GF-G3-O,Riyadh Dry Port,ORIGIN,2026-05-01T06:00:00+03:00,2026-05-01T07:00:00+03:00,60
GOOD-3,VH-G3,GF-G3-D,Dammam DC,DESTINATION,2026-05-01T13:10:00+03:00,2026-05-01T13:40:00+03:00,30
GOOD-4,VH-G4,GF-G4-O,Riyadh Dry Port,ORIGIN,2026-05-01T06:00:00+03:00,2026-05-01T07:00:00+03:00,60
GOOD-4,VH-G4,GF-G4-D,Dammam DC,DESTINATION,2026-05-01T13:15:00+03:00,2026-05-01T13:45:00+03:00,30
GOOD-5,VH-G5,GF-G5-O,Riyadh Dry Port,ORIGIN,2026-05-01T06:00:00+03:00,2026-05-01T07:00:00+03:00,60
GOOD-5,VH-G5,GF-G5-D,Dammam DC,DESTINATION,2026-05-01T13:20:00+03:00,2026-05-01T13:50:00+03:00,30
LOW-1,VH-L1,GF-L1-O,Jeddah Port,PICKUP,2026-05-01T08:00:00+03:00,2026-05-01T09:00:00+03:00,60
LOW-1,VH-L1,GF-L1-D,Riyadh DC,CUSTOMER,2026-05-01T19:00:00+03:00,2026-05-01T19:30:00+03:00,30
,VH-L2,GF-L2-O,Jeddah Port,PICKUP,2026-05-01T08:00:00+03:00,2026-05-01T09:00:00+03:00,60
,VH-L2,GF-L2-D,Riyadh DC,CUSTOMER,2026-05-01T19:20:00+03:00,2026-05-01T19:50:00+03:00,30
UNSTABLE-1,VH-U1,GF-U1-O,Doha Hub,ORIGIN,2026-05-01T07:00:00+03:00,2026-05-01T08:00:00+03:00,60
UNSTABLE-1,VH-U1,GF-U1-D,Muscat DC,DELIVERY,2026-05-01T13:00:00+03:00,2026-05-01T13:30:00+03:00,30
UNSTABLE-2,VH-U2,GF-U2-O,Doha Hub,ORIGIN,2026-05-01T07:00:00+03:00,2026-05-01T08:00:00+03:00,60
UNSTABLE-2,VH-U2,GF-U2-D,Muscat DC,DELIVERY,2026-05-01T13:10:00+03:00,2026-05-01T13:40:00+03:00,30
UNSTABLE-3,VH-U3,GF-U3-O,Doha Hub,ORIGIN,2026-05-01T07:00:00+03:00,2026-05-01T08:00:00+03:00,60
UNSTABLE-3,VH-U3,GF-U3-D,Muscat DC,DELIVERY,2026-05-01T13:20:00+03:00,2026-05-01T13:50:00+03:00,30
UNSTABLE-4,VH-U4,GF-U4-O,Doha Hub,ORIGIN,2026-05-01T07:00:00+03:00,2026-05-01T08:00:00+03:00,60
UNSTABLE-4,VH-U4,GF-U4-D,Muscat DC,DELIVERY,2026-05-01T13:30:00+03:00,2026-05-01T14:00:00+03:00,30
UNSTABLE-5,VH-U5,GF-U5-O,Doha Hub,ORIGIN,2026-05-01T07:00:00+03:00,2026-05-01T08:00:00+03:00,60
UNSTABLE-5,VH-U5,GF-U5-D,Muscat DC,DELIVERY,2026-05-01T23:00:00+03:00,2026-05-01T23:30:00+03:00,30
OUT-1,VH-O1,GF-O1-O,Dubai JAFZA,HUB,2026-05-01T09:00:00+04:00,2026-05-01T10:00:00+04:00,60
OUT-1,VH-O1,GF-O1-D,Abu Dhabi Store,DELIVERY,2026-05-01T12:00:00+04:00,2026-05-01T12:30:00+04:00,30
OUT-2,VH-O2,GF-O2-O,Dubai JAFZA,HUB,2026-05-01T09:00:00+04:00,2026-05-01T10:00:00+04:00,60
OUT-2,VH-O2,GF-O2-D,Abu Dhabi Store,DELIVERY,2026-05-01T12:02:00+04:00,2026-05-01T12:32:00+04:00,30
OUT-3,VH-O3,GF-O3-O,Dubai JAFZA,HUB,2026-05-01T09:00:00+04:00,2026-05-01T10:00:00+04:00,60
OUT-3,VH-O3,GF-O3-D,Abu Dhabi Store,DELIVERY,2026-05-01T12:04:00+04:00,2026-05-01T12:34:00+04:00,30
OUT-4,VH-O4,GF-O4-O,Dubai JAFZA,HUB,2026-05-01T09:00:00+04:00,2026-05-01T10:00:00+04:00,60
OUT-4,VH-O4,GF-O4-D,Abu Dhabi Store,DELIVERY,2026-05-01T12:06:00+04:00,2026-05-01T12:36:00+04:00,30
OUT-5,VH-O5,GF-O5-O,Dubai JAFZA,HUB,2026-05-01T09:00:00+04:00,2026-05-01T10:00:00+04:00,60
OUT-5,VH-O5,GF-O5-D,Abu Dhabi Store,DELIVERY,2026-05-01T20:00:00+04:00,2026-05-01T20:30:00+04:00,30
MISS-ORIGIN,VH-MO,GF-MO-D,Doha Retail Hub,DESTINATION,2026-05-01T16:00:00+03:00,2026-05-01T16:30:00+03:00,30
MISS-DEST,VH-MD,GF-MD-O,Kuwait DC,ORIGIN,2026-05-01T06:30:00+03:00,2026-05-01T07:00:00+03:00,30
CHECK-VALID,VH-CV,GF-CV-O,Kuwait DC,ORIGIN,2026-05-01T06:30:00+03:00,2026-05-01T07:00:00+03:00,30
CHECK-VALID,VH-CV,GF-CV-D,Doha Retail Hub,DESTINATION,2026-05-01T16:00:00+03:00,2026-05-01T16:30:00+03:00,30
NEGATIVE,VH-NG,GF-NG-O,Bahrain Hub,ORIGIN,2026-05-01T14:30:00+03:00,2026-05-01T15:00:00+03:00,30
NEGATIVE,VH-NG,GF-NG-D,Dammam DC,DESTINATION,2026-05-01T14:00:00+03:00,2026-05-01T14:30:00+03:00,30
