trip_id,vehicle_id,geofence_id,geofence_name,geofence_type,enter_time,exit_time,dwell_minutes
UP-1001,VH-701,RUH_HUB,Riyadh Hub,ORIGIN,2026-06-05T06:50:00+03:00,2026-06-05T07:03:00+03:00,13
UP-1001,VH-701,JED_DC,Jeddah DC,DESTINATION,2026-06-05T16:55:00+03:00,2026-06-05T18:10:00+03:00,75
UP-1002,VH-702,DMM_PORT,Dammam Port,PICKUP,2026-06-05T07:25:00+03:00,2026-06-05T08:55:00+03:00,90
UP-1002,VH-702,RUH_STORE,Riyadh Store,CUSTOMER,2026-06-05T15:00:00+03:00,2026-06-05T16:35:00+03:00,95
UP-1003,VH-703,JED_PORT,Jeddah Port,ORIGIN,2026-06-05T06:00:00+03:00,2026-06-05T06:44:00+03:00,44
UP-1003,VH-703,MAK_DC,Makkah DC,DELIVERY,2026-06-05T11:35:00+03:00,2026-06-05T12:40:00+03:00,65
UP-1004,VH-704,RUH_PHARMA,Riyadh Pharma Hub,HUB,2026-06-05T08:38:00+03:00,2026-06-05T09:03:00+03:00,25
UP-1004,VH-704,DMM_HOSP,Dammam Hospital,DESTINATION,2026-06-05T15:04:00+03:00,2026-06-05T16:00:00+03:00,56
UP-1005,VH-705,JED_XD,Jeddah Crossdock,ORIGIN,2026-06-05T09:40:00+03:00,2026-06-05T10:04:00+03:00,24
UP-1005,VH-705,MED_STORE,Medina Store,DELIVERY,2026-06-05T15:26:00+03:00,2026-06-05T16:10:00+03:00,44
UP-1006,VH-706,DXB_SOUTH,Dubai South,ORIGIN,2026-06-05T05:35:00+04:00,2026-06-05T06:00:00+04:00,25
UP-1006,VH-706,DOH_DC,Doha DC,DESTINATION,2026-06-05T16:05:00+03:00,2026-06-05T16:50:00+03:00,45
UP-1008,VH-708,BAH_HUB,Bahrain Hub,HUB,2026-06-05T10:43:00+03:00,2026-06-05T11:07:00+03:00,24
UP-1008,VH-708,DMM_DC,Dammam DC,CUSTOMER,2026-06-05T16:02:00+03:00,2026-06-05T16:31:00+03:00,29
